audit_id,observed_at,layer,control,observed_state,status,evidence,next_test,reference
WEB-AH-011,2026-09-20,external_services,third_party_routes,"Parcours publics vers paiement et extranet observés ou historiquement indexés",OBSERVED_HISTORICAL,"Ancien site et page de refonte","Cartographier domaine, données et information avant redirection","https://www.ardechehabitat.fr/"
WEB-AH-012,2026-09-20,seo,migration,"Ancien accueil et anciennes pages encore indexés alors que le navigateur sert une page de refonte différente",DIVERGENT_INDEX_STATE,"Index public crawl ancien ≠ état navigateur observé le 20/09/2026","Contrôler 301, canonical, sitemap, 404/410 et réindexation","https://www.ardechehabitat.fr/"
WEB-AH-013,2026-09-20,security,headers_tls,"En-têtes de sécurité et chaîne TLS non audités dans cette version",TO_TEST,"Hors périmètre v0.1","Contrôle non intrusif multi-points","https://www.ardechehabitat.fr/"
WEB-AH-014,2026-09-20,accessibility,contrast_blue_white,"Contraste visuel estimé blanc/bleu principal ≈ 5.45:1",CONVERGENT_VISUAL_PRECHECK,"Mesure sur capture JPEG fournie par l’utilisateur","Confirmer sur couleurs CSS calculées et tailles réelles","screenshot-user-observation"
WEB-AH-015,2026-09-20,accessibility,contrast_orange_white,"Contraste visuel estimé blanc/orange du bouton ≈ 2.72:1",TO_CONFIRM,"Mesure sur capture JPEG ; insuffisant pour conclure sur CSS réel","Mesurer couleurs calculées dans DevTools et vérifier critère RGAA/WCAG applicable","screenshot-user-observation"
WEB-AH-016,2026-09-20,accessibility,responsive_mobile,"Pas de débordement horizontal évident sur la portion mobile capturée",OBSERVED_PARTIAL,"Capture iPhone","Tester page complète, zoom 200/400 %, orientation et clavier","screenshot-user-observation"
WEB-AH-017,2026-09-20,browser,dom_current,"DOM courant non récupéré : chemin automatisé retourne HTTP 503",TO_TEST,"Le DOM historique indexé ne doit pas remplacer le DOM courant","Observer via DevTools ou navigateur instrumenté","https://www.ardechehabitat.fr/"
WEB-AH-018,2026-09-20,browser,network_storage,"Requêtes réseau, cookies, localStorage et sessionStorage non observés par DevTools dans cette session",TO_TEST,"Absence d’instrumentation navigateur disponible sur ce chemin","Capturer HAR + stockage navigateur avant et après interaction","https://www.ardechehabitat.fr/"
WEB-AH-019,2026-09-20,http,legacy_legal_html,"Ancienne URL mentions légales HTML : fetch automatisé actuel HTTP 503",INDETERMINATE_LIVE,"Le code 503 ne prouve ni existence ni suppression de la ressource","Tester depuis navigateur réel et réseau distinct","https://www.ardechehabitat.fr/liste-des-actualites/166-mentions-legales.html"
WEB-AH-020,2026-09-20,http,legacy_legal_pdf,"Ancien PDF mentions légales : fetch automatisé actuel HTTP 503",INDETERMINATE_LIVE,"Historique indexé établi ; disponibilité actuelle non établie","Tester depuis navigateur réel et réseau distinct","https://www.ardechehabitat.fr/images/mentions_legales.pdf"
WEB-AH-021,2026-09-20,http,legacy_contacts,"Ancienne URL contacts : fetch actuel HTTP 404 alors qu’une représentation ancienne reste indexée",DIVERGENT_INDEX_LIVE,"Index historique ≠ état live de l’URL testée","Qualifier redirection/remplacement ou suppression dans la migration","https://www.ardechehabitat.fr/infos-pratiques/contacts-horaires-plan-d-acces.html"
WEB-AH-022,2026-09-20,third_party,legacy_payment_domain,"Ancien corpus indexé : paiement du loyer lié à jepaieenligne.systempay.fr",ESTABLISHED_HISTORICAL,"Lien extrait de la représentation crawlée de l’ancien site","Extraire l’URL actuelle du bouton de refonte dans le DOM courant","https://jepaieenligne.systempay.fr/"
WEB-AH-023,2026-09-20,third_party,legacy_copro_domain,"Ancien corpus indexé : extranet syndic lié à extranet2.ics.fr",ESTABLISHED_HISTORICAL,"Lien extrait de la représentation crawlée de l’ancien site","Extraire l’URL actuelle du bouton de refonte dans le DOM courant","https://extranet2.ics.fr/"
WEB-AH-024,2026-09-20,network,client_mobile,"Observation mobile : Safari sur iPhone",OBSERVED,"Contexte de la capture fournie dans la session","Conserver client constant dans les tests T1/T2/T3","session-observation"
WEB-AH-025,2026-09-20,network,vpn_path,"Observation mobile réalisée avec tunnel NordVPN actif",OBSERVED,"Configuration déclarée pour le chemin ayant servi la page de refonte","Comparer VPN ON/OFF à navigateur constant","session-observation"
WEB-AH-026,2026-09-20,network,egress_identity,"IP, ASN et localisation de sortie NordVPN non capturés",TO_MEASURE,"Le VPN modifie l’identité de sortie sans permettre ici de l’identifier précisément","Capturer uniquement les métadonnées réseau nécessaires au test","session-observation"
WEB-AH-027,2026-09-20,request_auth,request_headers,"User-Agent complet, Accept, Accept-Language, signatures et autres en-têtes de requête non capturés",TO_TEST,"Aucune attribution possible sans capture","Comparer les requêtes ordinaires sans modifier ni contourner les protections","https://www.ardechehabitat.fr/"
WEB-AH-028,2026-09-20,request_auth,bot_gateway,"Présence ou comportement d’un mécanisme de classification bot/challenge non observé directement",INDETERMINATE,"HTTP 503 seul ne permet pas d’identifier un WAF, CDN ou bot gateway","Observer les réponses et challenges sans contournement","https://www.ardechehabitat.fr/"
WEB-AH-029,2026-09-20,edge,waf_cdn,"Présence et règles d’un CDN/WAF non établies",INDETERMINATE,"Divergence d’accès compatible avec plusieurs mécanismes concurrents","Qualifier seulement après indices directs dans DNS, headers ou page challenge","https://www.ardechehabitat.fr/"
WEB-AH-030,2026-09-20,model,request_response_boundary,"REQUEST_AUTH/BOT_GATEWAY séparé des SECURITY_RESPONSE_HEADERS",ESTABLISHED_MODEL,"La première couche décrit la qualification de la requête ; la seconde décrit les en-têtes renvoyés","Utiliser cette séparation dans les prochaines versions","internal-audit-model"
WEB-AH-031,2026-09-20,governance,canonical_lineage,"Projection publique rattachée à l’état canonique privé AH-WEB-AUDIT-2026 v0.4",ESTABLISHED_GOVERNANCE,"Canonicalisation privée fusionnée avant mise à jour de la projection publique","Toute version future doit d’abord être qualifiée dans l’autorité canonique puis projetée","AH-WEB-AUDIT-2026"
WEB-AH-032,2026-09-20,transport,https_automated_path,"Récupération HTTPS automatisée contemporaine : HTTP 503",OBSERVED_AUTOMATED_PATH,"État du chemin d’audit uniquement ; navigateur mobile réel distinct déjà observé fonctionnel","Répéter depuis navigateur instrumenté et plusieurs chemins réseau","https://www.ardechehabitat.fr/"
WEB-AH-033,2026-09-20,transport,local_dns_path,"Client local de contrôle : échec de résolution DNS de www.ardechehabitat.fr",OBSERVED_AUDIT_CLIENT_FAILURE,"Échec du point de mesure local ; ne prouve pas un défaut DNS global du site","Comparer DNS/résolution depuis le navigateur réel et une autre sortie réseau","session-tool-observation"
WEB-AH-034,2026-09-20,transport,http_to_https,"Ouverture automatisée d’une URL HTTP aboutissant à un échec référencé sur HTTPS",INDETERMINATE_REDIRECT,"Le client peut suivre ou normaliser le schéma lui-même","Capturer la réponse HTTP initiale et l’éventuel Location depuis un client instrumenté","http://www.ardechehabitat.fr/"
WEB-AH-035,2026-09-20,security,response_headers_current,"HSTS CSP X-Content-Type-Options Referrer-Policy Permissions-Policy et protections de framing non récupérés sur l’état courant",TO_TEST,"Le chemin disponible ne fournit pas les en-têtes exploitables de la page servie au navigateur","Capturer les response headers du document principal","https://www.ardechehabitat.fr/"
WEB-AH-036,2026-09-20,security,tls_current,"Version TLS chaîne certificat cipher et propriétés du certificat courant non établis",TO_TEST,"Résolution/accès insuffisants depuis les clients d’audit disponibles","Contrôle TLS non intrusif depuis un chemin qui atteint le site","https://www.ardechehabitat.fr/"
WEB-AH-037,2026-09-20,security,mixed_content_current,"Mixed content de la page de refonte non caractérisé",TO_TEST,"DOM et requêtes réseau actuels non disponibles","Inspecter requêtes HTTP initiées depuis le document HTTPS courant","https://www.ardechehabitat.fr/"
WEB-AH-038,2026-09-20,browser,historical_iframes,"Ancien accueil indexé avec marqueurs iframe",ESTABLISHED_HISTORICAL,"Représentation crawlée de l’ancien site","Ne pas transposer à la refonte ; extraire les iframes actuelles du DOM","https://www.ardechehabitat.fr/"
WEB-AH-039,2026-09-20,browser,historical_http_link,"Ancien accueil indexé mentionnant un lien externe http:// vers un support du Dauphiné Libéré",ESTABLISHED_HISTORICAL_LINK_ONLY,"Un lien HTTP historique n’établit pas un mixed content courant","Vérifier si une sous-ressource HTTP est réellement chargée dans la refonte","https://www.ardechehabitat.fr/"
WEB-AH-040,2026-09-20,browser,current_storage_cookies,"Cookies avant interaction localStorage sessionStorage et analytics actuels non observés",TO_TEST,"Absence de HAR/Application storage pour l’état courant","Capturer état initial puis état après interaction","https://www.ardechehabitat.fr/"
WEB-AH-041,2026-09-20,browser,current_third_party_scripts,"Scripts tiers iframes actuelles et domaines réseau de la refonte non établis",TO_TEST,"Capture visuelle ≠ inventaire réseau","Inventorier les requêtes et initiatives dans un HAR","https://www.ardechehabitat.fr/"
WEB-AH-042,2026-09-20,forms,historical_captcha_form,"Ancien formulaire indexé avec nom e-mail sujet message et captcha",ESTABLISHED_HISTORICAL,"Représentation crawlée de l’ancienne page contacts","Identifier l’éventuel formulaire courant et son information au point de collecte","https://www.ardechehabitat.fr/infos-pratiques/contacts-horaires-plan-d-acces.html"
WEB-AH-043,2026-09-20,browser,current_action_cards,"Capture mobile de la refonte : actions paiement du loyer offres d’emploi et extranet syndic visibles",OBSERVED_VISUAL_ONLY,"Cibles href et flux réseau non extraits du DOM","Extraire href et chaîne de redirection de chaque action","screenshot-user-observation"
WEB-AH-044,2026-09-20,accessibility,keyboard_focus,"Navigation clavier ordre de focus pièges clavier et focus visible non testés",TO_TEST,"Nécessite interaction clavier sur la page courante","Parcourir tous les contrôles au clavier et relever l’ordre/focus","https://www.ardechehabitat.fr/"
WEB-AH-045,2026-09-20,accessibility,structure_semantics,"Titres landmarks noms accessibles et structure sémantique courants non établis",TO_TEST,"DOM courant non récupéré","Inspecter DOM/accessibility tree","https://www.ardechehabitat.fr/"
WEB-AH-046,2026-09-20,accessibility,image_alternatives,"Alternatives textuelles des images actuelles non établies",TO_TEST,"Capture visuelle insuffisante pour connaître alt/aria","Inspecter éléments image et noms accessibles","https://www.ardechehabitat.fr/"
WEB-AH-047,2026-09-20,accessibility,zoom_reflow,"Zoom texte 200 % et reflow équivalent 400 % non testés",TO_TEST,"Nécessite navigateur interactif","Tester 200 % puis 400 % sans perte de contenu/fonctionnalité","https://www.w3.org/TR/WCAG22/"
WEB-AH-048,2026-09-20,accessibility,screen_reader,"Lecture par technologie d’assistance non testée",TO_TEST,"Aucun accessibility tree ou lecteur d’écran instrumenté dans cette session","Tester noms rôles états ordre et annonces avec lecteur d’écran","https://www.ardechehabitat.fr/"
WEB-AH-049,2026-09-20,accessibility,contrast_secondary_blue_white,"Contraste visuel estimé blanc/bleu secondaire ≈ 4.41:1",TO_CONFIRM,"Mesure sur capture JPEG ; seuil dépend du texte et des couleurs CSS réelles","Confirmer sur computed styles et taille/graisse du texte","screenshot-user-observation"
