source_id,title,producer,url,source_type,territorial_level,publication_date,verification_date,primary_secondary,self_description,theme,status,notes
SRC-0020,TED — résultats 246037-2025 — entretien des espaces verts,Office des publications de l’Union européenne,https://ted.europa.eu/fr/notice/-/detail/246037-2025,S1,european,2025-04-15,2026-09-17,primary,no,procurement,active,"Avis primaire de résultats : entretien des espaces verts du patrimoine Ardèche Habitat 2025-2028 ; lots 1 à 3 attribués, lots 4 et 5 sans attribution"
SRC-0021,OJS/TED — résultats 2024/S 001-000987 — entretien ECS/PAC,Office des publications de l’Union européenne,https://ted.europa.eu/udl?uri=TED:NOTICE:000987-2024:TEXT:FR:HTML,S1,european,2024-01-02,2026-09-17,primary,no,procurement,active,"Référence primaire OJS/TED de l’attribution ENGIE HOME SERVICES ; montant total publié 77 916,04 €"
SRC-0022,TED — résultats 252647-2025 — Annonay La Gendarmerie,Office des publications de l’Union européenne,https://ted.europa.eu/fr/notice/-/detail/252647-2025,S1,european,2025-04-17,2026-09-17,primary,no,procurement,active,"Avis primaire de résultats AOO 2024_055 : construction d’une gendarmerie et de 53 logements de fonction ; 17 lots attribués ; valeur totale des contrats 10 562 425,59 €"
SRC-0023,TED — résultats 63128-2026 — diagnostics immobiliers,Office des publications de l’Union européenne,https://ted.europa.eu/fr/notice/-/detail/63128-2026,S1,european,2026,2026-09-17,primary,no,procurement,active,"Résultats du marché groupé de diagnostics immobiliers ; lots Ardèche Habitat 2-1 et 2-2 attribués à AC ENVIRONNEMENT ; plafonds maximums publiés 2 M€ et 4 M€ HT"
SRC-0024,TED — résultats 212039-2026 — Résidence Bernaudin,Office des publications de l’Union européenne,https://ted.europa.eu/fr/notice/-/detail/212039-2026,S1,european,2026-03-27,2026-09-17,primary,no,procurement,active,"Réhabilitation de 212 logements collectifs locatifs sociaux à Annonay ; résultats des lots 1 à 5 et 7 ; lot 6 initialement sans lauréat"
SRC-0025,OJS 2026/S 079-278867 — lot 6 Bernaudin,OpenProcurements,https://fr.openprocurements.com/tender/2025-annonay-residence-bernaudin-rehabilitation-de-212-logements-collectifs-locatifs-sociaux-la-pres/,secondary-republication,european,2026-04-21,2026-09-17,secondary,no,procurement,supporting,"Reproduction structurée de l'avis d'attribution du lot 6 plomberie-sanitaire-chauffage-VMC ; SAS ETS ROUX GERALD ; 1 038 141 € HT ; contrat conclu le 23/02/2026"
SRC-0026,Légifrance — décret n°2020-1609 du 17 décembre 2020,État français,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000042695121,S1,national,2020-12-18,2026-09-17,primary,no,law,active,"Texte réglementaire relatif au DPE et à l'affichage des consommations d'énergie"
SRC-0027,Ministère de la Transition écologique — Diagnostic de performance énergétique,Ministère de la Transition écologique,https://www.ecologie.gouv.fr/politiques-publiques/diagnostic-performance-energetique-dpe,S1,national,,2026-09-17,primary,yes,law,active,"Présentation officielle du DPE et du calendrier du DPE collectif"
SRC-0028,Service-Public.fr — calendrier de décence énergétique,Direction de l'information légale et administrative,https://www.service-public.fr/particuliers/actualites/A14608,S1,national,,2026-09-17,primary,no,law,active,"Calendrier réglementaire des restrictions de location selon la classe DPE"
SRC-0029,A.E.D. AMIANTE ET ENVIRONNEMENT — marché diagnostics Ardèche Habitat,Societe.com,https://www.societe.com/societe/a-e-d-amiante-et-environnement-805146792.html,secondary-republication,national,2022-01-12,2026-09-17,secondary,no,procurement,supporting,"Reproduction du marché OPH 21-024 3-1 : diagnostics immobiliers et repérage amiante avant relocation et vente pour Ardèche Habitat ; 2 M€ ; 48 mois"
