provider_id,canonical_name,published_name,siren,published_registration_number,awarded_siret,awarded_address,awarded_city,awarded_postal_code,current_legal_name,current_hq_siret,current_hq_address,current_hq_city,current_hq_postal_code,legal_form_current,identity_source_id,registry_source,registry_observed_at,identity_quality,status,notes
PRV-013,SARL VALETTE R.SERRURERIE METALLERIE,SARL VALETTE R.SERRURERIE METALLERIE,510637739,51063773900010,51063773900010,26 Avenue Jean Jaurès,Tain-l'Hermitage,26600,VALETTE R. SERRURERIE METALLERIE,51063773900010,26 Avenue Jean Jaurès,Tain-l'Hermitage,26600,SARL,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,Même établissement attributaire et siège actuel.
PRV-014,SAS FEA,SAS FEA,441100104,44110010400039,44110010400039,148 Rue Antoine Emery - BP 13,Pontcharra,38530,FEA,44110010400039,148 Rue Antoine Emery,Pontcharra,38530,SAS,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,Même établissement attributaire et siège actuel.
PRV-015,MENUISERIE CHINAPPI,SARL MENUISERIE CHINAPPI,412528283,41552828300036,41252828300036,5 Rue d'Athènes,Sète,34200,MENUISERIE CHINAPPI,41252828300036,Parc Aquatechnique - 5 Rue d'Athènes,Sète,34200,SARL,SRC-0022,RNE/INSEE + RNE/Annuaire des entreprises,2026-09-17,TED_RNE_DIVERGENT_IDENTIFIANT,DIVERGENT_IDENTIFIANT_SOURCE_REGISTRE,TED publie 41552828300036 ; le registre officiel établit SIREN 412528283 et SIRET 41252828300036 à la même adresse. Le numéro TED brut est conservé séparément.
PRV-016,SAS CREATION BATIMENT CINDO,SAS CREATION BATIMENT CINDO,494832413,49483241300038,49483241300038,17 Rue Edouard Martel,Saint-Étienne,42100,CREATION BATIMENT CINDO,49483241300038,17 Rue Edouard Martel,Saint-Étienne,42100,SAS,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,Même établissement attributaire et siège actuel.
PRV-017,MCC CARRELAGE,EURL MCC CARRELAGE,830490587,83049058700011,83049058700011,21 Rue de Bon Repos,Saint-Rambert-d'Albon,26140,MCC CARRELAGE,83049058700029,2 Allée de Cachepiou,Saint-Rambert-d'Albon,26140,SARL,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT_HQ_CHANGED,NORMALISE_ETABLISSEMENT_ATTRIBUTAIRE_DISTINCT_SIEGE,Le SIRET attributaire 00011 est conservé ; le siège actuel est l'établissement 00029.
PRV-018,SAS MAZET DENIS,SAS MAZET DENIS,323886739,32388673900016,32388673900016,81 Allée de Beauregard,Annonay,07100,MAZET DENIS,32388673900016,83 Allée de Beauregard,Annonay,07100,SAS,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_SAME_SIRET_ADDRESS_EVOLUTION,NORMALISE_ADRESSE_ACTUALISEE,Même SIRET ; l'adresse TED (81) et l'adresse actuelle du registre (83) sont conservées séparément.
PRV-019,SAS ETS LAPIZE DE SALLEE,SAS ETS LAPIZE DE SALLEE,335620324,33562032400053,33562032400053,42 RD 821 Lieu-dit Charameille,Davézieux,07430,ETS LAPIZE DE SALLEE,33562032400053,42 Route départementale 821 - Lieu-dit Les Charameilles,Davézieux,07430,SAS,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,Même SIRET ; variation de libellé du lieu-dit.
PRV-020,SAS SANIPAC,SAS SANIPAC,320888324,32088832400045,32088832400045,8 Rue des Sources,Annonay,07100,SANIPAC,32088832400045,8 Rue des Sources,Annonay,07100,SAS,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,Même établissement attributaire et siège actuel ; un autre établissement existe à Davézieux sans modifier l'identité attributaire.
PRV-021,SAS ORONA,SAS ORONA,430243857,43024385700116,43024385700116,52 Avenue Jean Jaurès,Oullins,69600,ORONA,43024385700116,52 Avenue Jean Jaurès - Le Parc des Saules,Oullins-Pierre-Bénite,69600,SAS,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT_COMMUNE_EVOLUTION,NORMALISE,Même SIRET ; commune actuelle Oullins-Pierre-Bénite, avis TED publié sous Oullins.
PRV-022,ENTREPRISE SAVEL BERNARD ET FILS,SARL Savel Bernard et Fils,398479899,,39847989900013,730 Chemin des Chaumettes,Arlebosc,07410,ENTREPRISE SAVEL BERNARD ET FILS,39847989900013,730 Route des Chaumettes,Arlebosc,07410,SARL,SRC-0013,RNE/INSEE,2026-09-17,BOAMP_RNE_ADDRESS_MATCH,NORMALISE,Identité historique BOAMP fermée par concordance du nom et de l'adresse d'Arlebosc avec le SIREN/SIRET du registre.
PRV-023,REYNOUARD TP,SARL REYNOUARD Frères,402529143,,40252914300016,Champrenard,Labeaume,07120,REYNOUARD TP,40252914300016,1428 Route de Chapias - Lieu-dit Champrenard,Labeaume,07120,SARL,SRC-0014,RNE/INSEE + BODACC,2026-09-17,BOAMP_BODACC_RNE_CONVERGENT,NORMALISE_CHRONOLOGIE_DENOMINATION,Le titulaire BOAMP REYNOUARD Frères correspond au SIREN 402529143 ; la dénomination actuelle est REYNOUARD TP. Même SIRET de siège.
PRV-024,E H C EL HARRAS CONSTRUCTION,SAS EHC,490847423,,49084742300012,58 Boulevard Peschaire Alizon,Vallon-Pont-d'Arc,07150,E H C EL HARRAS CONSTRUCTION,49084742300012,58 Boulevard Peschaire Alizon,Vallon-Pont-d'Arc,07150,SAS,SRC-0014,RNE/INSEE + BODACC,2026-09-17,BOAMP_BODACC_RNE_ADDRESS_MATCH,NORMALISE,Identité historique EHC fermée par adresse exacte, SIREN 490847423 et continuité juridique de la SAS.
PRV-025,MOMMEE Bernard,Entreprise Mommée Bernard,386512941,,38651294100041,ZI Le Lac - 31 Avenue Marc Seguin,Privas,07000,MOMMEE Bernard,,,,,Entrepreneur individuel / personne physique,SRC-0015,BODACC + TED 130631-2026,2026-09-17,BOAMP_BODACC_TED_CONVERGENT,NORMALISE_SIRET_HISTORIQUE_CURRENT_STATUS_INDETERMINE,BOAMP 2016 et BODACC rattachent Bernard Mommée au SIREN 386512941 à Privas ; TED 130631-2026 publie le SIRET 38651294100041 à la même adresse. Le statut courant du siège après 2026 n'est pas déduit ici.
